Time,PosX,PosY,PosZ,Roll,Pitch,Yaw
0.01,3.26827e-05,1.07948e-19,0.774066,1.3504e-19,-0.000101148,4.57808e-20
0.02,0.000120392,-7.72469e-18,0.772255,4.71488e-17,-0.000297763,-1.40532e-15
0.03,0.000288568,1.62842e-14,0.769634,4.50214e-14,-0.000582913,-1.89768e-14
0.04,0.000565396,-6.34672e-14,0.766278,-1.82916e-13,-0.000948362,1.7161e-14
0.05,0.000981336,1.11277e-13,0.762269,3.40137e-13,-0.0013845,-2.28678e-13
0.06,0.00156896,1.21591e-13,0.757695,2.36935e-13,-0.00188046,5.51314e-13
0.07,0.00236204,7.64438e-13,0.752647,1.92067e-12,-0.00242396,8.42573e-13
0.08,0.00339455,-8.91171e-12,0.747223,-2.55388e-11,-0.0030012,8.03375e-12
0.09,0.00470134,-3.23634e-11,0.741523,-8.63682e-11,-0.0035978,2.74038e-11
0.1,0.00631716,-6.58346e-11,0.735646,-1.63901e-10,-0.00419895,5.70091e-11
0.11,0.00827615,-1.02561e-10,0.729693,-2.36596e-10,-0.00478999,9.39623e-11
0.12,0.0104233,-1.26401e-10,0.723759,-2.59491e-10,-0.00528498,1.32543e-10
0.13,0.0127558,-1.55806e-10,0.717936,-2.95186e-10,-0.00567196,1.78347e-10
0.14,0.0152734,-1.69411e-10,0.712311,-2.79755e-10,-0.00594617,1.89564e-10
0.15,0.0179758,-1.75946e-10,0.706962,-2.48741e-10,-0.00610843,2.05521e-10
0.16,0.0208625,-2.0403e-10,0.701959,-2.86754e-10,-0.0061646,2.45498e-10
0.17,0.0239329,-2.30585e-10,0.697362,-3.14444e-10,-0.0061248,2.96225e-10
0.18,0.0271863,-2.51424e-10,0.69322,-3.22016e-10,-0.00600249,3.45074e-10
0.19,0.030622,-2.67114e-10,0.689573,-3.14828e-10,-0.00581337,3.93768e-10
0.2,0.0342392,-2.78109e-10,0.686447,-2.96714e-10,-0.0055743,4.43614e-10
0.21,0.0380374,-2.84586e-10,0.683859,-2.69982e-10,-0.00530224,4.94487e-10
0.22,0.0420158,-2.87267e-10,0.681815,-2.38071e-10,-0.00501577,5.45219e-10
0.23,0.046174,-2.86834e-10,0.68031,-2.0367e-10,-0.0047293,5.957e-10
0.24,0.0505116,-2.8389e-10,0.679332,-1.68794e-10,-0.00445514,6.45912e-10
0.25,0.0550259,-2.69652e-10,0.678801,-1.2223e-10,-0.004271,6.87192e-10
0.26,0.0597144,-2.39263e-10,0.678621,-9.88329e-11,-0.00425315,7.17996e-10
0.27,0.0645816,-2.07369e-10,0.678558,-7.63771e-11,-0.00428371,7.48187e-10
0.28,0.0696276,-1.7587e-10,0.678599,-5.77774e-11,-0.00436224,7.79801e-10
0.29,0.0748526,-1.44598e-10,0.678738,-4.24195e-11,-0.00448153,8.12596e-10
0.3,0.0802569,-1.13421e-10,0.678967,-2.97859e-11,-0.0046343,8.46367e-10
0.31,0.0858407,-8.22363e-11,0.679278,-1.94625e-11,-0.00481343,8.79948e-10
0.32,0.0916043,-5.09612e-11,0.679663,-1.10915e-11,-0.00501204,9.13402e-10
0.33,0.0975479,-1.95295e-11,0.680114,-4.37034e-12,-0.00522362,9.46722e-10
0.34,0.103672,1.20866e-11,0.680621,9.51925e-13,-0.00544213,9.7988e-10
0.35,0.109976,4.39071e-11,0.681175,5.08346e-12,-0.00566203,1.01286e-09
0.36,0.116461,7.59567e-11,0.681768,8.19505e-12,-0.00587895,1.04537e-09
0.37,0.123127,1.08213e-10,0.68239,1.04391e-11,-0.00608845,1.07745e-09
0.38,0.129973,1.40737e-10,0.683033,1.19269e-11,-0.00628673,1.10913e-09
0.39,0.137001,1.73491e-10,0.683688,1.27656e-11,-0.00647069,1.14038e-09
0.4,0.14421,2.06455e-10,0.684347,1.30446e-11,-0.00663783,1.17117e-09
0.41,0.1516,2.39604e-10,0.685002,1.284e-11,-0.00678633,1.2015e-09
0.42,0.159172,2.7289e-10,0.685646,1.22133e-11,-0.00691495,1.23132e-09
0.43,0.166924,3.06271e-10,0.686272,1.12143e-11,-0.0070259,1.26053e-09
0.44,0.174858,3.39712e-10,0.686872,9.89071e-12,-0.00711861,1.2891e-09
0.45,0.182973,3.73183e-10,0.687441,8.27495e-12,-0.00719296,1.31701e-09
0.46,0.19127,4.06632e-10,0.687974,6.40042e-12,-0.0072493,1.34424e-09
0.47,0.199747,4.40007e-10,0.688466,4.29645e-12,-0.00728829,1.37074e-09
0.48,0.208406,4.73261e-10,0.688914,1.98642e-12,-0.00731098,1.39652e-09
0.49,0.217246,5.06334e-10,0.689314,-5.07013e-13,-0.00731865,1.42153e-09
0.5,0.226267,5.39172e-10,0.689664,-3.16617e-12,-0.0073128,1.44576e-09
0.51,0.23547,5.71717e-10,0.689961,-5.97563e-12,-0.00729507,1.46921e-09
0.52,0.244853,6.03912e-10,0.690205,-8.92313e-12,-0.00726724,1.49184e-09
0.53,0.254417,6.35695e-10,0.690394,-1.19958e-11,-0.00723111,1.51366e-09
0.54,0.264162,6.67005e-10,0.690528,-1.51827e-11,-0.00718848,1.53465e-09
0.55,0.274087,6.97779e-10,0.690609,-1.84743e-11,-0.00714115,1.55479e-09
0.56,0.284194,7.2146e-10,0.690639,-3.05402e-11,-0.00709466,1.56813e-09
0.57,0.29448,7.44422e-10,0.690634,-4.05471e-11,-0.00706436,1.58065e-09
0.58,0.304946,7.66644e-10,0.690595,-4.87576e-11,-0.00705095,1.59256e-09
0.59,0.315592,7.87781e-10,0.690523,-5.58307e-11,-0.00705365,1.60455e-09
0.6,0.326418,8.15628e-10,0.690446,-5.13714e-11,-0.00705839,1.60462e-09
0.61,0.337425,8.43826e-10,0.69037,-4.67723e-11,-0.00706317,1.60466e-09
0.62,0.348612,8.72447e-10,0.690293,-4.20863e-11,-0.00706787,1.60471e-09
0.63,0.35998,9.01562e-10,0.690218,-3.73587e-11,-0.00707248,1.60475e-09
0.64,0.371529,9.31238e-10,0.690144,-3.26271e-11,-0.00707701,1.6048e-09
0.65,0.383257,9.61535e-10,0.690071,-2.79313e-11,-0.00708146,1.60485e-09
0.66,0.395167,9.9251e-10,0.689999,-2.33018e-11,-0.00708582,1.60489e-09
0.67,0.407256,1.02421e-09,0.689929,-1.87726e-11,-0.00709011,1.60494e-09
0.68,0.419527,1.05669e-09,0.689859,-1.43709e-11,-0.00709432,1.60498e-09
0.69,0.431977,1.08998e-09,0.68979,-1.0117e-11,-0.00709845,1.60502e-09
0.7,0.444609,1.12412e-09,0.689722,-6.03707e-12,-0.0071025,1.60506e-09
0.71,0.45742,1.15914e-09,0.689656,-2.15003e-12,-0.00710648,1.6051e-09
0.72,0.470412,1.19507e-09,0.68959,1.53006e-12,-0.00711038,1.60514e-09
0.73,0.483585,1.23192e-09,0.689525,4.98984e-12,-0.00711421,1.60517e-09
0.74,0.496938,1.26972e-09,0.689462,8.21959e-12,-0.00711796,1.60521e-09
0.75,0.510472,1.30847e-09,0.689399,1.12098e-11,-0.00712164,1.60524e-09
0.76,0.524186,1.34819e-09,0.689337,1.39567e-11,-0.00712525,1.60526e-09
0.77,0.53808,1.38887e-09,0.689277,1.64575e-11,-0.00712878,1.60529e-09
0.78,0.552156,1.43053e-09,0.689217,1.87098e-11,-0.00713224,1.60531e-09
0.79,0.566411,1.47316e-09,0.689159,2.07167e-11,-0.00713563,1.60533e-09
0.8,0.580847,1.51674e-09,0.689101,2.24783e-11,-0.00713895,1.60535e-09
0.81,0.595464,1.56129e-09,0.689044,2.40015e-11,-0.00714219,1.60537e-09
0.82,0.61026,1.60678e-09,0.688989,2.52931e-11,-0.00714537,1.60539e-09
0.83,0.625238,1.6532e-09,0.688934,2.63614e-11,-0.00714848,1.6054e-09
0.84,0.640396,1.70055e-09,0.68888,2.72149e-11,-0.00715151,1.60541e-09
0.85,0.655734,1.7488e-09,0.688827,2.78619e-11,-0.00715448,1.60542e-09
0.86,0.671253,1.79793e-09,0.688776,2.83126e-11,-0.00715738,1.60543e-09
0.87,0.686952,1.84794e-09,0.688725,2.85801e-11,-0.00716021,1.60543e-09
0.88,0.702832,1.8988e-09,0.688675,2.86759e-11,-0.00716298,1.60544e-09
0.89,0.718892,1.95048e-09,0.688626,2.86122e-11,-0.00716568,1.60544e-09
0.9,0.735133,2.00298e-09,0.688577,2.84024e-11,-0.00716831,1.60544e-09
0.91,0.751554,2.05627e-09,0.68853,2.80599e-11,-0.00717087,1.60544e-09
0.92,0.768156,2.11032e-09,0.688484,2.75956e-11,-0.00717337,1.60544e-09
0.93,0.784938,2.16513e-09,0.688438,2.70236e-11,-0.0071758,1.60544e-09
0.94,0.801901,2.22066e-09,0.688394,2.63566e-11,-0.00717817,1.60544e-09
0.95,0.819044,2.2769e-09,0.68835,2.56088e-11,-0.00718048,1.60543e-09
0.96,0.836368,2.33383e-09,0.688307,2.47905e-11,-0.00718272,1.60543e-09
0.97,0.853872,2.39143e-09,0.688265,2.39147e-11,-0.0071849,1.60543e-09
0.98,0.871556,2.44968e-09,0.688224,2.2993e-11,-0.00718701,1.60542e-09
0.99,0.889421,2.50857e-09,0.688184,2.20367e-11,-0.00718906,1.60541e-09
1,0.907467,2.56807e-09,0.688144,2.10564e-11,-0.00719106,1.60541e-09
1.01,0.925693,2.62818e-09,0.688106,2.00593e-11,-0.00719298,1.6054e-09
1.02,0.944099,2.68887e-09,0.688068,1.90571e-11,-0.00719485,1.6054e-09
1.03,0.962686,2.75014e-09,0.688031,1.80573e-11,-0.00719666,1.60539e-09
1.04,0.981453,2.81197e-09,0.687995,1.70677e-11,-0.00719841,1.60539e-09
1.05,1.0004,2.87435e-09,0.68796,1.60968e-11,-0.00720009,1.60538e-09
1.06,1.01953,2.93727e-09,0.687925,1.51499e-11,-0.00720172,1.60538e-09
1.07,1.03884,3.00072e-09,0.687892,1.42339e-11,-0.00720329,1.60537e-09
1.08,1.05833,3.0647e-09,0.687859,1.33528e-11,-0.0072048,1.60536e-09
1.09,1.078,3.12919e-09,0.687827,1.25119e-11,-0.00720625,1.60536e-09
1.1,1.09785,3.1942e-09,0.687795,1.17136e-11,-0.00720764,1.60535e-09
1.11,1.11788,3.2597e-09,0.687765,1.09604e-11,-0.00720898,1.60535e-09
1.12,1.13809,3.32571e-09,0.687735,1.02578e-11,-0.00721026,1.60535e-09
1.13,1.15848,3.39222e-09,0.687706,9.60606e-12,-0.00721148,1.60534e-09
1.14,1.17905,3.45922e-09,0.687678,9.00563e-12,-0.00721265,1.60534e-09
1.15,1.19981,3.52672e-09,0.68765,8.46018e-12,-0.00721376,1.60534e-09
1.16,1.22074,3.59472e-09,0.687624,7.96883e-12,-0.00721482,1.60534e-09
1.17,1.24185,3.6632e-09,0.687598,7.53123e-12,-0.00721582,1.60534e-09
1.18,1.26315,3.73218e-09,0.687572,7.14693e-12,-0.00721676,1.60533e-09
1.19,1.28462,3.80166e-09,0.687548,6.81524e-12,-0.00721765,1.60533e-09
1.2,1.30627,3.87164e-09,0.687524,6.53435e-12,-0.00721849,1.60533e-09
1.21,1.32811,3.94212e-09,0.687501,6.30384e-12,-0.00721928,1.60533e-09
1.22,1.35013,4.0131e-09,0.687479,6.12051e-12,-0.00722001,1.60533e-09
1.23,1.37232,4.08459e-09,0.687457,5.9815e-12,-0.00722069,1.60534e-09
1.24,1.3947,4.15659e-09,0.687436,5.88803e-12,-0.00722131,1.60534e-09
1.25,1.41726,4.2291e-09,0.687416,5.83477e-12,-0.00722189,1.60534e-09
1.26,1.43999,4.30213e-09,0.687396,5.81934e-12,-0.00722241,1.60534e-09
1.27,1.46291,4.37568e-09,0.687377,5.84112e-12,-0.00722288,1.60534e-09
1.28,1.48601,4.44976e-09,0.687359,5.89507e-12,-0.0072233,1.60534e-09
1.29,1.50929,4.52438e-09,0.687342,5.97937e-12,-0.00722367,1.60535e-09
1.3,1.53275,4.59953e-09,0.687325,6.09175e-12,-0.00722399,1.60535e-09
1.31,1.55639,4.67522e-09,0.687309,6.22897e-12,-0.00722426,1.60535e-09
1.32,1.58021,4.75145e-09,0.687293,6.38791e-12,-0.00722448,1.60535e-09
1.33,1.60421,4.82824e-09,0.687278,6.56502e-12,-0.00722465,1.60536e-09
1.34,1.62839,4.90558e-09,0.687264,6.75929e-12,-0.00722477,1.60536e-09
1.35,1.65275,4.98348e-09,0.687251,6.96548e-12,-0.00722485,1.60536e-09
1.36,1.67729,5.06194e-09,0.687238,7.18394e-12,-0.00722487,1.60537e-09
1.37,1.70202,5.14096e-09,0.687226,7.41101e-12,-0.00722485,1.60537e-09
1.38,1.72692,5.22056e-09,0.687214,7.6428e-12,-0.00722478,1.60537e-09
1.39,1.752,5.30073e-09,0.687203,7.87996e-12,-0.00722466,1.60538e-09
1.4,1.77727,5.38147e-09,0.687193,8.11843e-12,-0.0072245,1.60538e-09
1.41,1.80271,5.4628e-09,0.687183,8.35572e-12,-0.00722429,1.60539e-09
1.42,1.82834,5.54471e-09,0.687174,8.59167e-12,-0.00722403,1.60539e-09
1.43,1.85414,5.6272e-09,0.687165,8.82255e-12,-0.00722373,1.60539e-09
1.44,1.88013,5.71028e-09,0.687157,9.05043e-12,-0.00722338,1.6054e-09
1.45,1.90629,5.79395e-09,0.68715,9.27261e-12,-0.00722299,1.6054e-09
1.46,1.93264,5.87821e-09,0.687143,9.4863e-12,-0.00722255,1.6054e-09
1.47,1.95917,5.96306e-09,0.687137,9.69135e-12,-0.00722207,1.60541e-09
1.48,1.98587,6.04851e-09,0.687132,9.88898e-12,-0.00722154,1.60541e-09
1.49,2.01276,6.13455e-09,0.687127,1.00748e-11,-0.00722097,1.60541e-09
1.5,2.03983,6.22119e-09,0.687122,1.02491e-11,-0.00722036,1.60541e-09
1.51,2.06708,6.30843e-09,0.687119,1.0412e-11,-0.0072197,1.60542e-09
1.52,2.09451,6.39627e-09,0.687115,1.05634e-11,-0.007219,1.60542e-09
1.53,2.12212,6.4847e-09,0.687113,1.07041e-11,-0.00721826,1.60542e-09
1.54,2.14991,6.57373e-09,0.687111,1.08317e-11,-0.00721747,1.60542e-09
1.55,2.17788,6.66336e-09,0.687109,1.09469e-11,-0.00721664,1.60543e-09
1.56,2.20603,6.75359e-09,0.687108,1.10511e-11,-0.00721577,1.60543e-09
1.57,2.23436,6.84441e-09,0.687108,1.11442e-11,-0.00721486,1.60543e-09
1.58,2.26287,6.93584e-09,0.687108,1.12259e-11,-0.00721391,1.60543e-09
1.59,2.29157,7.02786e-09,0.687109,1.12963e-11,-0.00721291,1.60543e-09
1.6,2.32044,7.12047e-09,0.68711,1.13557e-11,-0.00721188,1.60544e-09
1.61,2.34949,7.21369e-09,0.687112,1.14053e-11,-0.0072108,1.60544e-09
1.62,2.37873,7.30749e-09,0.687114,1.14444e-11,-0.00720968,1.60544e-09
1.63,2.40814,7.40189e-09,0.687117,1.14744e-11,-0.00720853,1.60545e-09
1.64,2.43773,7.49689e-09,0.68712,1.14949e-11,-0.00720733,1.60545e-09
1.65,2.46751,7.59248e-09,0.687124,1.15082e-11,-0.0072061,1.60545e-09
1.66,2.49746,7.68865e-09,0.687128,1.15137e-11,-0.00720482,1.60545e-09
1.67,2.5276,7.78542e-09,0.687133,1.15112e-11,-0.00720351,1.60545e-09
1.68,2.55792,7.88278e-09,0.687139,1.15025e-11,-0.00720216,1.60545e-09
1.69,2.58841,7.98073e-09,0.687145,1.1487e-11,-0.00720077,1.60545e-09
1.7,2.61909,8.07926e-09,0.687151,1.14673e-11,-0.00719934,1.60545e-09
1.71,2.64995,8.17838e-09,0.687158,1.14426e-11,-0.00719788,1.60545e-09
1.72,2.68099,8.27809e-09,0.687165,1.14145e-11,-0.00719637,1.60546e-09
1.73,2.7122,8.37838e-09,0.687173,1.13831e-11,-0.00719483,1.60546e-09
1.74,2.7436,8.47926e-09,0.687182,1.13488e-11,-0.00719326,1.60546e-09
1.75,2.77518,8.58072e-09,0.687191,1.13128e-11,-0.00719164,1.60546e-09
1.76,2.80694,8.68276e-09,0.6872,1.12745e-11,-0.00718999,1.60546e-09
1.77,2.83888,8.78538e-09,0.68721,1.12347e-11,-0.00718831,1.60546e-09
1.78,2.871,8.88858e-09,0.68722,1.11946e-11,-0.00718658,1.60546e-09
1.79,2.9033,8.99236e-09,0.687231,1.1154e-11,-0.00718482,1.60546e-09
1.8,2.93579,9.09673e-09,0.687242,1.11139e-11,-0.00718303,1.60546e-09
1.81,2.96845,9.20167e-09,0.687254,1.10747e-11,-0.0071812,1.60546e-09
1.82,3.00129,9.30719e-09,0.687266,1.10353e-11,-0.00717934,1.60546e-09
1.83,3.03431,9.41328e-09,0.687278,1.09975e-11,-0.00717744,1.60546e-09
1.84,3.06752,9.51996e-09,0.687292,1.09601e-11,-0.00717551,1.60546e-09
1.85,3.1009,9.62721e-09,0.687305,1.09248e-11,-0.00717354,1.60547e-09
1.86,3.13446,9.73504e-09,0.687319,1.08922e-11,-0.00717154,1.60547e-09
1.87,3.16821,9.84344e-09,0.687333,1.08617e-11,-0.0071695,1.60547e-09
1.88,3.20213,9.95242e-09,0.687348,1.08311e-11,-0.00716743,1.60547e-09
1.89,3.23624,1.0062e-08,0.687364,1.08039e-11,-0.00716532,1.60547e-09
1.9,3.27052,1.01721e-08,0.687379,1.07776e-11,-0.00716317,1.60548e-09
1.91,3.30499,1.02828e-08,0.687395,1.07543e-11,-0.00716098,1.60548e-09
1.92,3.33964,1.03941e-08,0.687412,1.07333e-11,-0.00715877,1.60548e-09
1.93,3.37446,1.0506e-08,0.687429,1.07135e-11,-0.00715652,1.60548e-09
1.94,3.40947,1.06184e-08,0.687446,1.06958e-11,-0.00715424,1.60548e-09
1.95,3.44466,1.07314e-08,0.687464,1.06807e-11,-0.00715192,1.60548e-09
1.96,3.48003,1.0845e-08,0.687482,1.06684e-11,-0.00714958,1.60548e-09
1.97,3.51371,1.09812e-08,0.688593,4.52952e-11,-0.0077058,1.64624e-09
1.98,3.54673,1.11272e-08,0.690803,9.67088e-11,-0.00906049,1.68199e-09
1.99,3.57927,1.16417e-08,0.694083,1.08543e-09,-0.0112003,2.25564e-09
2,3.6115,1.20814e-08,0.698325,1.7015e-09,-0.0139938,2.78959e-09
2.01,3.64369,1.20654e-08,0.703038,1.63568e-09,-0.0168694,2.9412e-09
2.02,3.67593,1.19642e-08,0.708138,1.49129e-09,-0.0197521,3.04082e-09
2.03,3.70826,1.19523e-08,0.713543,1.32513e-09,-0.0225837,3.21857e-09
2.04,3.74075,1.20753e-08,0.719118,1.38892e-09,-0.0253502,3.22052e-09
2.05,3.77322,1.2211e-08,0.724439,1.44813e-09,-0.0278204,3.23052e-09
2.06,3.80607,1.2479e-08,0.729548,1.46368e-09,-0.0301712,3.52139e-09
2.07,3.83911,1.1213e-08,0.734403,2.04284e-09,-0.0323154,2.35257e-09
2.08,3.87234,1.09731e-08,0.738962,2.1579e-09,-0.0342208,2.1998e-09
2.09,3.90575,1.04546e-08,0.743193,2.39711e-09,-0.0358694,1.47143e-09
2.1,3.93933,1.04332e-08,0.747071,2.40902e-09,-0.0372494,1.54867e-09
2.11,3.97308,9.98576e-09,0.750575,2.62234e-09,-0.0383641,8.03698e-10
2.12,4.00698,9.7097e-09,0.753694,2.75233e-09,-0.03922,2.8262e-10
2.13,4.04104,9.72208e-09,0.756416,2.79929e-09,-0.0398302,1.44139e-10
2.14,4.07525,9.73795e-09,0.758737,2.83691e-09,-0.0402111,-3.9508e-11
2.15,4.10963,9.91569e-09,0.760654,2.82645e-09,-0.0403824,-3.79825e-11
2.16,4.14418,1.01226e-08,0.762167,2.81519e-09,-0.0403669,-5.31752e-11
2.17,4.1789,1.03268e-08,0.763296,2.71662e-09,-0.0402061,-1.02422e-10
2.18,4.21381,1.05357e-08,0.764048,2.58311e-09,-0.0399253,-1.85745e-10
2.19,4.24892,1.0753e-08,0.764437,2.43462e-09,-0.0395514,-3.01255e-10
2.2,4.28417,1.10028e-08,0.764408,2.30549e-09,-0.0390027,-4.21616e-10
2.21,4.31947,1.1286e-08,0.763892,2.1805e-09,-0.0381724,-5.35431e-10
2.22,4.35479,1.1586e-08,0.762821,2.05778e-09,-0.0369006,-6.69326e-10
2.23,4.39012,1.19013e-08,0.761155,1.94123e-09,-0.0351737,-8.22135e-10
2.24,4.42547,1.22301e-08,0.758867,1.83585e-09,-0.0329974,-9.91657e-10
2.25,4.46084,1.25699e-08,0.75594,1.73301e-09,-0.0303877,-1.17523e-09
2.26,4.49623,1.29307e-08,0.752358,1.642e-09,-0.0273648,-1.38276e-09
2.27,4.53164,1.33038e-08,0.748106,1.56789e-09,-0.0239502,-1.60424e-09
2.28,4.56706,1.36499e-08,0.74317,1.5013e-09,-0.0201653,-1.80015e-09
2.29,4.6025,1.40074e-08,0.737538,1.43705e-09,-0.0160299,-2.00898e-09
2.3,4.63854,1.42557e-08,0.731599,1.06456e-09,-0.0123621,-2.35096e-09
2.31,4.67473,1.47919e-08,0.725462,1.54058e-09,-0.00906687,-2.45369e-09
2.32,4.71109,1.59307e-08,0.71933,3.59366e-09,-0.00619587,-1.9733e-09
2.33,4.7476,1.62624e-08,0.713332,2.99952e-09,-0.00383256,-2.16428e-09
2.34,4.78427,1.40072e-08,0.707561,-4.67078e-09,-0.00200313,-4.76186e-09
2.35,4.8211,1.3031e-08,0.702082,-7.27398e-09,-0.00068917,-6.49293e-09
2.36,4.85808,1.40225e-08,0.696948,-3.9275e-09,0.000153299,-6.565e-09
2.37,4.89523,1.40186e-08,0.692202,-4.05655e-09,0.000580085,-7.43203e-09
2.38,4.93255,1.40789e-08,0.687883,-3.98916e-09,0.000650465,-8.29508e-09
2.39,4.97003,1.42402e-08,0.684028,-3.67192e-09,0.000424501,-9.11068e-09
2.4,5.00769,1.44853e-08,0.680664,-3.19621e-09,-3.82583e-05,-9.86711e-09
2.41,5.04552,1.47761e-08,0.677815,-2.69169e-09,-0.000679756,-1.05812e-08
2.42,5.08353,1.51066e-08,0.675494,-2.17642e-09,-0.00144471,-1.1243e-08
2.43,5.12171,1.547e-08,0.673703,-1.67057e-09,-0.00228209,-1.18489e-08
2.44,5.16008,1.56601e-08,0.672284,-1.4602e-09,-0.00296468,-1.25834e-08
2.45,5.19864,1.5838e-08,0.671224,-1.26264e-09,-0.00347475,-1.33253e-08
2.46,5.23739,1.60026e-08,0.670516,-1.0829e-09,-0.00381846,-1.40698e-08
2.47,5.27632,1.61559e-08,0.670148,-9.15807e-10,-0.004008,-1.48175e-08
2.48,5.31543,1.62977e-08,0.670104,-7.62641e-10,-0.00406004,-1.5566e-08
2.49,5.35473,1.58091e-08,0.670241,-1.47012e-09,-0.00413757,-1.5746e-08
2.5,5.3942,1.52069e-08,0.670511,-2.12838e-09,-0.00427666,-1.59335e-08
2.51,5.43385,1.44877e-08,0.670899,-2.73703e-09,-0.00447355,-1.61315e-08
2.52,5.47368,1.36474e-08,0.671393,-3.29683e-09,-0.00472096,-1.63418e-08
2.53,5.51119,1.2663e-08,0.673702,-3.92387e-09,-0.00256511,-1.65181e-08
2.54,5.54786,1.09847e-08,0.677566,-6.12047e-09,0.000941039,-1.6248e-08
2.55,5.58396,8.76e-09,0.682824,-9.31132e-09,0.00535465,-1.55826e-08
2.56,5.6199,6.63415e-09,0.688765,-1.17607e-08,0.00964773,-1.44859e-08
2.57,5.65579,5.13153e-09,0.695254,-1.30346e-08,0.0136611,-1.36183e-08
2.58,5.69171,3.0577e-09,0.702197,-1.37128e-08,0.0173365,-1.21019e-08
2.59,5.72781,9.08751e-10,0.709026,-1.45629e-08,0.020516,-1.08595e-08
2.6,5.76404,-1.39409e-09,0.715798,-1.5174e-08,0.0233537,-9.89736e-09
2.61,5.80043,-4.28091e-09,0.722404,-1.56215e-08,0.0257712,-8.78874e-09
2.62,5.83699,-7.36383e-09,0.728763,-1.60068e-08,0.0277353,-7.77428e-09
2.63,5.87372,-9.49704e-09,0.734816,-1.67035e-08,0.0292501,-7.81702e-09
2.64,5.91061,-1.18344e-08,0.740525,-1.72817e-08,0.0303369,-7.91895e-09
2.65,5.94767,-1.37512e-08,0.745859,-1.79704e-08,0.0310273,-8.59175e-09
2.66,5.98489,-1.60433e-08,0.750791,-1.84885e-08,0.031357,-9.21567e-09
2.67,6.02228,-1.85405e-08,0.755298,-1.88429e-08,0.0313639,-9.99461e-09
2.68,6.05983,-2.12987e-08,0.759359,-1.90637e-08,0.0310871,-1.08668e-08
2.69,6.09756,-2.42907e-08,0.762956,-1.9177e-08,0.0305656,-1.18472e-08
2.7,6.13545,-2.76313e-08,0.766076,-1.92059e-08,0.029839,-1.28185e-08
2.71,6.17351,-3.13091e-08,0.768708,-1.91723e-08,0.0289476,-1.37848e-08
2.72,6.21176,-3.5031e-08,0.770885,-1.87246e-08,0.0279751,-1.50428e-08
2.73,6.25017,-3.87897e-08,0.772607,-1.79729e-08,0.0269562,-1.65357e-08
2.74,6.28877,-4.25817e-08,0.773878,-1.70084e-08,0.025924,-1.82426e-08
2.75,6.32755,-4.65253e-08,0.774615,-1.61188e-08,0.0247911,-1.99771e-08
2.76,6.36653,-5.05928e-08,0.774729,-1.52859e-08,0.0234695,-2.17759e-08
2.77,6.40567,-5.47246e-08,0.774118,-1.4518e-08,0.0218609,-2.36669e-08
2.78,6.44498,-5.89641e-08,0.772706,-1.38759e-08,0.0199009,-2.56142e-08
2.79,6.48446,-6.32906e-08,0.770455,-1.33571e-08,0.0175677,-2.7686e-08
2.8,6.52408,-6.77411e-08,0.767344,-1.29274e-08,0.0148678,-2.99321e-08
2.81,6.56385,-7.22969e-08,0.763364,-1.24619e-08,0.0118174,-3.22993e-08
2.82,6.60375,-7.69525e-08,0.758515,-1.20921e-08,0.00843463,-3.47998e-08
2.83,6.64378,-8.17155e-08,0.752795,-1.174e-08,0.00473498,-3.7435e-08
2.84,6.68395,-8.5475e-08,0.746614,-8.63916e-09,0.00121715,-4.10695e-08
2.85,6.7243,-8.92599e-08,0.740091,-6.30443e-09,-0.0020611,-4.46227e-08
2.86,6.76486,-9.32799e-08,0.733379,-5.1351e-09,-0.00498026,-4.76961e-08
2.87,6.80566,-9.85507e-08,0.726636,-7.71795e-09,-0.0074396,-4.94579e-08
2.88,6.84673,-1.06217e-07,0.719992,-1.6524e-08,-0.00939086,-4.88269e-08
2.89,6.88806,-1.1455e-07,0.713546,-2.55218e-08,-0.0108135,-4.71041e-08
2.9,6.92958,-1.22614e-07,0.707369,-3.21314e-08,-0.011719,-4.54286e-08
2.91,6.97131,-1.29945e-07,0.701525,-3.5546e-08,-0.0121596,-4.4038e-08
2.92,7.01323,-1.36002e-07,0.696069,-3.48566e-08,-0.0121962,-4.34022e-08
2.93,7.05534,-1.41268e-07,0.691052,-3.2184e-08,-0.011893,-4.29024e-08
2.94,7.09765,-1.46072e-07,0.686518,-2.87879e-08,-0.0113151,-4.21878e-08
2.95,7.14014,-1.5059e-07,0.682505,-2.5253e-08,-0.0105278,-4.11401e-08
2.96,7.18281,-1.54861e-07,0.679042,-2.16874e-08,-0.00959488,-3.97874e-08
2.97,7.22567,-1.58954e-07,0.67615,-1.82658e-08,-0.00857664,-3.81378e-08
2.98,7.2687,-1.62922e-07,0.673837,-1.50887e-08,-0.00752796,-3.62103e-08
