Time,FRChss-Fx,FRChss-Fy,FRChss-Fz,FLChss-Fx,FLChss-Fy,FLChss-Fz,RRChss-Fx,RRChss-Fy,RRChss-Fz,RLChss-Fx,RLChss-Fy,RLChss-Fz
0.01,242.812,-7.91379e-10,150.527,242.812,7.06129e-10,150.527,-16.5926,3.73874e-10,235.712,-16.5926,-2.86927e-10,235.712
0.02,423.898,-7.62937e-09,328.755,423.898,9.07473e-09,328.755,-19.8554,-6.47835e-09,514.957,-19.8554,5.05585e-09,514.957
0.03,627.167,7.29796e-09,529.439,627.167,-5.12763e-09,529.439,-23.4206,-9.54924e-09,829.953,-23.4206,7.33854e-09,829.953
0.04,848.359,-1.08863e-08,748.027,848.359,1.00078e-08,748.027,-27.2284,1.22673e-08,1173.56,-27.2284,-1.13271e-08,1173.56
0.05,1082.76,5.02499e-08,979.987,1082.76,-5.26107e-08,979.987,-31.2127,-2.32645e-09,1538.62,-31.2127,4.65265e-09,1538.62
0.06,1325.72,-3.02549e-08,1220.86,1325.72,2.80141e-08,1220.86,-35.3135,6.68606e-09,1918.09,-35.3135,-4.45126e-09,1918.09
0.07,1572.8,-6.37622e-09,1466.33,1572.8,1.28271e-08,1466.33,-39.4756,-8.54734e-09,2305.16,-39.4756,2.13055e-09,2305.16
0.08,1819.72,2.50316e-08,1712.26,1819.72,-2.5254e-08,1712.26,-43.6476,-1.71521e-08,2693.28,-43.6476,1.74041e-08,2693.28
0.09,2062.54,1.05356e-07,1954.76,2062.54,-1.00711e-07,1954.76,-47.7803,2.78547e-08,3076.31,-47.7803,-3.25364e-08,3076.31
0.1,2160.86,2.53924e-08,2192.91,2160.86,-2.61436e-08,2192.91,-47.7961,5.97825e-10,3445,-47.7961,1.53503e-10,3445
0.11,1231.78,-7.5155e-08,2443.23,1231.78,1.00206e-07,2443.23,-17.9276,-2.87345e-08,3767.56,-17.9276,4.04206e-09,3767.56
0.12,1232.29,-4.88714e-08,2694.38,1232.29,6.91161e-08,2694.38,-17.4527,-9.72483e-08,4061.63,-17.4527,7.72878e-08,4061.63
0.13,1232.32,-4.64367e-08,2935.67,1232.32,7.5395e-09,2935.67,-17.509,4.16613e-08,4325.13,-17.509,-3.4955e-09,4325.13
0.14,1231.92,2.90338e-08,3163.28,1231.92,-1.70224e-08,3163.28,-18.0032,-4.34968e-08,4556.49,-18.0032,3.14978e-08,4556.49
0.15,1231.19,-4.31714e-08,3373.75,1231.19,2.48256e-08,3373.75,-18.8367,-2.72118e-08,4754.86,-18.8367,4.52367e-08,4754.86
0.16,1230.2,4.84948e-08,3564.04,1230.2,-2.88403e-08,3564.04,-19.9113,-4.1316e-08,4920.01,-19.9113,2.20336e-08,4920.01
0.17,1229.05,2.82822e-08,3731.63,1229.05,-4.07856e-08,3731.63,-21.1347,-5.68277e-08,5052.25,-21.1347,6.92042e-08,5052.25
0.18,1227.82,-3.20356e-08,3874.55,1227.82,2.95741e-08,3874.55,-22.425,-7.50758e-08,5152.37,-22.425,7.72614e-08,5152.37
0.19,1226.57,2.06725e-07,3991.36,1226.57,-1.72137e-07,3991.36,-23.7128,4.68903e-08,5221.58,-23.7128,-8.0536e-08,5221.58
0.2,1225.35,1.58843e-07,4081.22,1225.35,-1.69303e-07,4081.22,-24.9427,2.73798e-08,5261.44,-24.9427,-1.72084e-08,5261.44
0.21,1224.22,-5.56482e-08,4143.82,1224.22,2.59724e-08,4143.82,-26.0733,6.47859e-08,5273.78,-26.0733,-3.57178e-08,5273.78
0.22,1223.19,-1.48623e-07,4179.41,1223.19,1.44655e-07,4179.41,-27.0759,3.87144e-08,5260.67,-27.0759,-3.48002e-08,5260.67
0.23,1222.3,6.82031e-08,4188.73,1222.3,-6.31169e-08,4188.73,-27.9336,1.17754e-07,5224.37,-27.9336,-1.22732e-07,5224.37
0.24,1221.56,2.04059e-08,4172.99,1221.56,-7.96666e-09,4172.99,-28.6392,-2.83974e-08,5167.24,-28.6392,1.61472e-08,5167.24
0.25,1220.96,1.38172e-08,4133.79,1220.96,-6.79177e-09,4133.79,-29.1933,4.52002e-09,5091.74,-29.1933,-1.13837e-08,5091.74
0.26,1220.51,-3.54261e-08,4073.11,1220.51,8.66417e-09,4073.11,-29.6022,-1.30048e-07,5000.37,-29.6022,1.56335e-07,5000.37
0.27,1220.2,-3.52252e-09,3993.2,1220.2,6.9391e-09,3993.2,-29.8767,-5.86876e-10,4895.65,-29.8767,-2.71649e-09,4895.65
0.28,1220.01,-1.2427e-07,3896.54,1220.01,1.05262e-07,3896.54,-30.0303,-1.60307e-07,4780.07,-30.0303,1.79037e-07,4780.07
0.29,1219.93,3.00654e-08,3785.79,1219.93,-1.93768e-08,3785.79,-30.0778,-1.31883e-07,4656.06,-30.0778,1.21442e-07,4656.06
0.3,1219.95,6.93987e-08,3663.69,1219.95,-5.08449e-08,3663.69,-30.0348,-1.64317e-07,4526,-30.0348,1.46127e-07,4526
0.31,1220.05,8.342e-08,3533.04,1220.05,-6.66963e-08,3533.04,-29.9168,-7.49941e-08,4392.16,-29.9168,5.85999e-08,4392.16
0.32,1220.21,7.66592e-08,3396.6,1220.21,-6.86965e-08,3396.6,-29.7388,-1.19472e-07,4256.71,-29.7388,1.11621e-07,4256.71
0.33,1220.42,1.1498e-07,3257.08,1220.42,-1.19503e-07,3257.08,-29.5148,-4.48099e-08,4121.67,-29.5148,4.92678e-08,4121.67
0.34,1220.67,-4.09269e-08,3117.08,1220.67,5.43612e-08,3117.08,-29.2579,-7.35321e-08,3988.93,-29.2579,6.02208e-08,3988.93
0.35,1220.95,2.90309e-08,2979.02,1220.95,-2.1959e-08,2979.02,-28.9801,-3.90799e-08,3860.22,-28.9801,3.20109e-08,3860.22
0.36,1221.23,9.82887e-08,2845.14,1221.23,-1.09749e-07,2845.14,-28.6922,-4.68404e-08,3737.11,-28.6922,5.79499e-08,3737.11
0.37,1221.52,1.32244e-07,2717.46,1221.52,-1.24721e-07,2717.46,-28.4039,-9.1318e-08,3621,-28.4039,8.38118e-08,3621
0.38,1221.81,6.77764e-08,2597.75,1221.81,-8.26386e-08,2597.75,-28.1237,-1.19852e-07,3513.1,-28.1237,1.3447e-07,3513.1
0.39,1222.08,6.33575e-09,2487.52,1222.08,-5.71268e-09,2487.52,-27.8588,-5.09966e-08,3414.43,-27.8588,5.0366e-08,3414.43
0.4,1222.33,1.01428e-07,2388.02,1222.33,-1.06791e-07,2388.02,-27.6153,-1.14294e-07,3325.85,-27.6153,1.19636e-07,3325.85
0.41,1222.55,4.82897e-08,2300.22,1222.55,-5.06966e-08,2300.22,-27.3979,-2.64946e-08,3248,-27.3979,2.87417e-08,3248
0.42,1222.75,5.20357e-08,2224.83,1222.75,-3.8323e-08,2224.83,-27.2103,-2.50221e-08,3181.36,-27.2103,1.15925e-08,3181.36
0.43,1222.91,-1.19763e-08,2162.28,1222.91,-9.40016e-10,2162.28,-27.0547,-6.3526e-08,3126.21,-27.0547,7.61242e-08,3126.21
0.44,1223.04,8.83922e-09,2112.77,1223.04,-2.05997e-08,2112.77,-26.9323,-1.15611e-07,3082.68,-26.9323,1.2741e-07,3082.68
0.45,1223.14,-6.58084e-09,2076.24,1223.14,-6.65621e-09,2076.24,-26.8432,8.34696e-08,3050.7,-26.8432,-7.05245e-08,3050.7
0.46,1223.2,-2.60498e-08,2052.44,1223.2,3.22686e-08,2052.44,-26.7864,-2.06461e-08,3030.06,-26.7864,1.46059e-08,3030.06
